Origin_Time,Latitude,Longitude,Depth,Magnitude,Location
1997-02-28 21:44:37 IST,30,68,33,4.3,"519km SSW of Kabul , Afghanistan"
1997-03-01 02:42:10 IST,29.70,68.50,33,4.3,"504km WNW of Bikaner, Rajasthan, India"
1997-03-01 03:45:01 IST,29.90,68.20,33,4.2,"526km S of Kabul , Afghanistan"
1997-03-01 04:28:48 IST,30,68.10,33,4.4,"517km S of Kabul , Afghanistan"
1997-03-01 06:12:07 IST,29.50,68.40,33,4.8,"506km WNW of Bikaner, Rajasthan, India"
1997-03-01 07:05:51 IST,30,67.80,33,3.9,"523km SSW of Kabul , Afghanistan"
1997-03-01 07:09:08 IST,29.90,67.90,33,4.1,"532km SSW of Kabul , Afghanistan"
1997-03-01 07:36:27 IST,30.10,68,33,4.1,"508km SSW of Kabul , Afghanistan"
1997-03-01 09:46:25 IST,30.50,68,33,3.9,"464km SSW of Kabul , Afghanistan"
1997-03-01 11:34:14 IST,39.40,76.80,22,5.2,"429km SSE of Bishkek, Kyrgyzstan"
1997-03-01 13:43:33 IST,29.80,68,33,4.1,"540km SSW of Kabul , Afghanistan"
1997-03-01 13:43:33 IST,29.60,68.30,33,4.3,"518km WNW of Bikaner, Rajasthan, India"
1997-03-01 14:40:25 IST,29.90,68.20,33,3.9,"526km S of Kabul , Afghanistan"
1997-03-01 14:45:24 IST,30.70,67.80,33,3.8,"448km SSW of Kabul , Afghanistan"
1997-03-01 19:16:58 IST,29.90,68,33,3.6,"529km SSW of Kabul , Afghanistan"
1997-03-01 23:22:07 IST,39.30,76.80,33,4.4,"439km SSE of Bishkek, Kyrgyzstan"
1997-03-02 01:53:32 IST,29.80,68,33,4.3,"540km SSW of Kabul , Afghanistan"
1997-03-02 08:39:22 IST,30.60,69.65,33,3.5,"441km S of Kabul , Afghanistan"
1997-03-02 09:28:25 IST,29.65,68.10,33,4.3,"538km WNW of Bikaner, Rajasthan, India"
1997-03-02 10:57:10 IST,29.80,68.30,33,4.3,"526km WNW of Bikaner, Rajasthan, India"
1997-03-02 14:13:52 IST,29.90,68.10,33,3.6,"528km S of Kabul , Afghanistan"
1997-03-02 17:31:48 IST,29.90,68,33,3.9,"529km SSW of Kabul , Afghanistan"
1997-03-03 00:08:46 IST,40,76,33,4.3,"341km SSE of Bishkek, Kyrgyzstan"
1997-03-03 07:55:21 IST,29.89,67.98,33,4.3,"531km SSW of Kabul , Afghanistan"
1997-03-03 07:58:33 IST,29.57,68.50,33,4.3,"499km WNW of Bikaner, Rajasthan, India"
1997-03-03 12:08:40 IST,33.59,71.51,48,4.5,"142km W of Islamabad, Pakistan"
1997-03-03 12:21:20 IST,30.34,68,33,3.8,"482km SSW of Kabul , Afghanistan"
1997-03-03 14:59:40 IST,27.24,86,45,4.7,"85km SE of Kathmandu, Nepal"
1997-03-04 01:12:43 IST,29.56,68.25,33,4.5,"522km WNW of Bikaner, Rajasthan, India"
1997-03-04 08:19:35 IST,29.65,68.38,33,4.5,"513km WNW of Bikaner, Rajasthan, India"
1997-03-04 18:28:30 IST,29.95,68.38,33,3.9,"518km S of Kabul , Afghanistan"
1997-03-04 18:33:47 IST,29.42,68.79,33,5.4,"467km WNW of Bikaner, Rajasthan, India"
1997-03-05 02:03:19 IST,29.60,68.74,33,4,"478km WNW of Bikaner, Rajasthan, India"
1997-03-05 02:09:44 IST,34.78,86.56,33,4.5,"739km ENE of Hanley, Jammu & Kashmir, India"
1997-03-05 09:45:57 IST,29.50,68.20,33,3.7,"524km WNW of Bikaner, Rajasthan, India"
1997-03-05 09:52:03 IST,29.30,68.40,33,3.8,"499km WNW of Bikaner, Rajasthan, India"
1997-03-05 14:10:51 IST,29.77,68.31,33,4.1,"524km WNW of Bikaner, Rajasthan, India"
1997-03-05 18:27:34 IST,39.43,75.30,62,4.6,"387km S of Bishkek, Kyrgyzstan"
1997-03-05 20:43:17 IST,30.74,90.27,33,4.7,"368km N of Thimphu, Bhutan"
1997-03-05 22:12:07 IST,29.62,68.28,33,4,"521km WNW of Bikaner, Rajasthan, India"
1997-03-07 19:22:48 IST,29.80,67.72,33,3.7,"547km SSW of Kabul , Afghanistan"
1997-03-08 06:11:11 IST,29.15,69.17,33,3.6,"423km WNW of Bikaner, Rajasthan, India"
1997-03-08 15:03:16 IST,36.70,71.75,33,3.7,"115km ESE of Fayzabad, Afghanistan"
1997-03-08 20:28:52 IST,29.40,68.50,33,4.1,"493km WNW of Bikaner, Rajasthan, India"
1997-03-09 00:00:41 IST,35.30,77.20,33,3.9,"120km N of Alchi(Leh),Jammu & Kashmir,India"
1997-03-09 11:37:46 IST,29.70,68.10,33,4.3,"540km WNW of Bikaner, Rajasthan, India"
1997-03-09 12:17:57 IST,29.24,68.68,33,4.4,"471km WNW of Bikaner, Rajasthan, India"
1997-03-09 23:30:05 IST,29.85,68,33,3.9,"535km SSW of Kabul , Afghanistan"
1997-03-10 02:59:37 IST,8.1,93.76,111,4.4,"122km N of Campbell Bay, Andaman and Nicobar island, India"
1997-03-10 11:38:44 IST,29.59,68.15,33,4.6,"532km WNW of Bikaner, Rajasthan, India"
1997-03-10 20:36:47 IST,26.23,62.88,33,4.9,"540km NE of Muscat, Oman"
1997-03-10 23:20:36 IST,27.38,92.71,33,4.4,"81km N of Tezpur, Assam, India"
1997-03-10 23:25:14 IST,27.21,92.41,33,4.5,"66km SE of Tawang, Arunachal Pradesh, India"
1997-03-11 05:45:48 IST,29.72,68.20,33,3.3,"532km WNW of Bikaner, Rajasthan, India"
1997-03-11 16:17:58 IST,30,66.99,33,3.7,"547km SSW of Kabul , Afghanistan"
1997-03-13 06:55:56 IST,29.80,67.92,33,3.8,"542km SSW of Kabul , Afghanistan"
1997-03-13 07:23:27 IST,29.60,68.14,33,4,"533km WNW of Bikaner, Rajasthan, India"
1997-03-13 08:58:34 IST,36.32,70.12,243,3.9,"94km SSW of Fayzabad, Afghanistan"
1997-03-13 16:19:00 IST,29.68,68.26,33,3.7,"525km WNW of Bikaner, Rajasthan, India"
1997-03-13 17:52:26 IST,29.89,68.20,33,4.1,"527km S of Kabul , Afghanistan"
1997-03-14 02:08:12 IST,30,67.80,33,4.6,"523km SSW of Kabul , Afghanistan"
1997-03-14 05:12:42 IST,29.89,68.12,33,3.9,"528km S of Kabul , Afghanistan"
1997-03-14 14:08:06 IST,17.30,73.60,0,1.8,"95km NW of Kolhapur, Maharashtra, India"
1997-03-15 15:08:33 IST,17.30,73.50,0,2.5,"103km NW of Kolhapur, Maharashtra, India"
1997-03-16 22:21:14 IST,17.30,73.60,0,2.7,"95km NW of Kolhapur, Maharashtra, India"
1997-03-17 14:01:42 IST,29.89,68.13,33,4.2,"528km S of Kabul , Afghanistan"
1997-03-19 16:45:50 IST,30.33,67.96,33,4.7,"484km SSW of Kabul , Afghanistan"
1997-03-20 06:17:30 IST,30.16,68.5,33,4.6,"493km S of Kabul , Afghanistan"
1997-03-20 09:00:17 IST,30.14,68.19,33,3.7,"500km S of Kabul , Afghanistan"
1997-03-20 14:17:15 IST,17.30,73.80,0,3,"81km NW of Kolhapur, Maharashtra, India"
